,annotation,id,name,parents,steps,tags
10,,a5c10201e410ba94,GLIMMER_to_GFF,"{0: [], 1: [0], 2: [1], 3: [2], 4: [3], 5: [4], 6: [5], 7: [6], 8: [7], 9: [7], 10: [9], 11: [8, 10], 12: [11]}","[Remove beginning1, Cut1, addValue, addValue, addValue, addValue, Cut1, cshl_sed_tool, Filter1, Filter1, Cut1, cat1, Cut1]",
11,,a465b9b896c2c323,"Add ""chr"" at beginning of each line",{1: []},[cshl_awk_tool],
12,,aff38b1bfa90c570,ProteinID_SG_PS_Tutorial_WF_datasetCollection,"{2: [], 3: [2], 4: [3], 5: [4], 6: [5], 7: [5], 8: [7]}","[PeakPickerHiRes, FileConverter, search_gui, peptide_shaker, Grep1, Grep1, Grep1]",
13,,a6bfb2a6512bee0b,Workflow constructed from history 'Genome annotaion workshop',"{1: [], 2: [], 3: [], 4: [], 5: [], 6: [4], 7: [4], 8: [4], 9: [6], 10: [6, 7], 11: [8], 12: [8], 13: [8], 14: [12], 15: [4, 14], 16: [15], 17: [15], 18: [16], 19: [17]}","[EMBOSS: extractseq35, fasta_compute_length, seq_composition, augustus, aragorn_trna, Grep1, Show beginning1, ncbi_blastp_wrapper, cat1, cat1, megablast_xml_parser, blastxml_to_top_descr, blast2go, Grep1, seq_filter_by_id, wolf_psort, tmhmm2, Filter1, Filter1]",
14,,a4756feddeadc4b8,Workflow_Join_Filter,"{2: [], 3: [], 4: [2], 5: [4], 6: [3, 4], 7: [3, 5]}","[Remove beginning1, Show beginning1, tp_easyjoin_tool, tp_awk_tool, tp_cat, tp_cat]",
15,,a409543068db7be2,Galaxy Introduction 101,"{2: [], 3: [2], 4: [3], 5: [4], 6: [5]}","[gops_join_1, Grouping1, tp_sort_header_tool, Show beginning1, comp1]",
16,,a44b85ca43d6e0d6,Ref based RNA Seq tutorial,"{3: [], 4: [], 5: [], 6: [5], 7: [6], 8: [7]}","[fastqc, fastqc, trim_galore, hisat2, htseq_count, sort1]",
17,,a6d58334907a8b52,Tophat MID Settings vergleichen,"{3: [], 4: [3], 5: [3], 6: [3], 7: [3], 8: [3], 9: [4], 10: [5], 11: [6], 12: [7], 13: [8], 14: [9], 15: [10], 16: [11], 17: [12], 18: [13]}","[trim_galore, tophat2, tophat2, tophat2, tophat2, tophat2, bam_to_sam, bam_to_sam, bam_to_sam, bam_to_sam, bam_to_sam, Count1, Count1, Count1, Count1, Count1]",
18,,a4240dfca322e877,RNAseq_prep_HISATseq_count,"{2: [], 3: [2], 4: [2], 5: [4]}","[trim_galore, fastqc, hisat2, htseq_count]","RNAseq,preprocessing"
19,,a48764a50d0a92f1,Workflow constructed from history 'Blast_124Scaf_RastResults',"{1: [], 2: [1], 3: [1], 4: [2], 5: [3], 6: [4], 7: [5]}","[ncbi_blastp_wrapper, Grep1, Grep1, Cut1, Cut1, Grep1, Grep1]",
20,,a1671b80bd479e15,Workflow constructed from history 'Mon',"{2: [], 3: [], 4: [2], 5: [4], 6: [3, 4], 7: [6]}","[tp_find_and_replace, get_flanks1, tp_find_and_replace, CONVERTER_interval_to_bed_0, gops_intersect_1, Count1]",
21,,a034b70f811cf62b,Finding 2 Genes,"{2: [], 3: [], 4: []}","[comp1, ncbi_blastp_wrapper, ncbi_blastp_wrapper]",
22,,a46da4f85abf1c52,Workflow introduction,"{2: [], 3: [], 4: [2], 5: [4], 6: [3, 5], 7: [5], 8: [6], 9: [8]}","[cshl_awk_tool, get_flanks1, tp_replace_in_line, tp_replace_in_line, gops_intersect_1, CONVERTER_interval_to_bed_0, Count1, barchart_gnuplot]",
23,,a4f7e0e50629859a,"Add ""chr"" at beginning of each line",{1: []},[cshl_awk_tool],
24,,a6c319b9dff0aad1,Test workflow,{1: []},[rna_star],
25,,ad85514b9d6c0c19,'Galaxy Intro Day1',"{2: [], 3: [2], 4: [3]}","[gops_intersect_1, Count1, barchart_gnuplot]",
26,,a3433e297ded9c9d,Copy of 10bp_44_steps_bedgraph_new_upstream,"{2: [], 3: [], 4: [2], 5: [2, 3], 6: [3], 7: [4], 8: [3, 4], 9: [5], 10: [6], 11: [7], 12: [3, 7], 13: [8], 14: [9, 2], 15: [10], 16: [11], 17: [3, 11], 18: [12], 19: [4, 13], 20: [14], 21: [15], 22: [16], 23: [16, 3], 24: [17], 25: [18, 7], 26: [19], 27: [20], 28: [21], 29: [22], 30: [3, 22], 31: [23], 32: [24, 11], 33: [25], 34: [26], 35: [27], 36: [28], 37: [29], 38: [3, 29], 39: [30], 40: [16, 31], 41: [32], 42: [33], 43: [34], 44: [35], 45: [36], 46: [37], 47: [3, 37], 48: [38], 49: [22, 39], 50: [40], 51: [41], 52: [42], 53: [43], 54: [44], 55: [45], 56: [46], 57: [3, 46], 58: [47], 59: [48, 29], 60: [49], 61: [50], 62: [51], 63: [52], 64: [53], 65: [56], 66: [56, 3], 67: [57], 68: [58, 37], 69: [59], 70: [60], 71: [61], 72: [62], 73: [63], 74: [65], 75: [65, 3], 76: [66], 77: [67, 46], 78: [68], 79: [69], 80: [70], 81: [71], 82: [72], 83: [74], 84: [74, 3], 85: [75], 86: [56, 76], 87: [77], 88: [78], 89: [79], 90: [80], 91: [81], 92: [83], 93: [3, 83], 94: [84], 95: [65, 85], 96: [86], 97: [87], 98: [88], 99: [89], 100: [90], 101: [92], ...}","[get_flanks1, addValue, get_flanks1, gops_intersect_1, gops_intersect_1, get_flanks1, gops_intersect_1, Add_a_column1, Add_a_column1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, gops_join_1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Add_a_column1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, Grouping1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, addValue, addValue, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, addValue, Add_a_column1, Add_a_column1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, addValue, Add_a_column1, Grouping1, Grouping1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, addValue, Add_a_column1, Grouping1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, addValue, Add_a_column1, Grouping1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, addValue, Add_a_column1, Grouping1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, addValue, Add_a_column1, Grouping1, get_flanks1, gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, addValue, Add_a_column1, Grouping1, get_flanks1, ...]",
27,,ade30bcf0f691bf2,Workflow constructed from history 'mirbase anti-VEGF',"{2: [], 3: [2], 4: [3], 5: [4], 6: [5], 7: [5]}","[bowtie2, htseq_count, deseq2, Filter1, Filter1, Filter1]",
28,,afb1b89b08698072,GLIMMER_to_GFF,"{0: [], 1: [0], 2: [1], 3: [2], 4: [3], 5: [4], 6: [5], 7: [6], 8: [7], 9: [7], 10: [9], 11: [8, 10], 12: [11]}","[Remove beginning1, Cut1, addValue, addValue, addValue, addValue, Cut1, cshl_sed_tool, Filter1, Filter1, Cut1, cat1, Cut1]",
29,,a0b7e651f132d92c,Exom Seq Workflow,"{2: [], 3: [2], 4: [3], 5: [4], 6: [5]}","[freebayes, vcfallelicprimitives, snpSift_filter, snpSift_annotate, snpEff]",
30,,a5f99d97837080ef,xTandem_Labelfree_Peptide_HEK_Ecoli,"{2: [], 3: [], 4: [3], 5: [4], 6: [2, 5], 7: [5], 8: [5], 9: [6], 10: [9], 11: [10], 12: [11], 13: [11], 14: [11]}","[FeatureFinderMultiplex, XTandemAdapter, PeptideIndexer, FalseDiscoveryRate, IDMapper, FileInfo, MzTabExporter, FeatureLinkerUnlabeledQT, IDConflictResolver, ConsensusMapNormalizer, TextExporter, FileInfo, MzTabExporter]",
31,,a3a927b7a1d552f8,silac_trans 'Kerstin4',"{3: [], 4: [], 5: [3], 6: [3], 7: [5], 8: [6, 7], 9: [8, 4], 10: [9], 11: [10], 12: [11]}","[tp_unfold_column_tool, tp_cut_tool, uniprot, Remove beginning1, Remove beginning1, join1, join1, Cut1, tp_cat, Filter1]",
32,,aed2ba482446366c,"Workflow constructed from history 'Tag 1, Cell Paper, unvollsändig'","{2: [], 3: [], 4: [2], 5: [2], 6: [4], 7: [3, 6]}","[cshl_awk_tool, get_flanks1, tp_replace_in_line, tp_replace_in_line, tp_replace_in_line, bedtools_intersectbed]",
33,,a8c8002cf676b761,Test - Collect Merge,"{2: [], 3: [], 4: [2], 5: [2], 6: [4], 7: [5], 8: [], 9: [8], 10: [9], 11: [10], 12: [11], 13: [3, 12], 14: [13], 15: [14], 16: [15], 17: [16]}","[HighResPrecursorMassCorrector, FeatureFinderMultiplex, MSGFPlusAdapter, MSGFPlusAdapter, PeptideIndexer, PeptideIndexer, IDMerger, ConsensusID, PeptideIndexer, FalseDiscoveryRate, IDFilter, IDMapper, IDConflictResolver, FileFilter, FileMerger, MzTabExporter]",
34,,ab93dbc4d603c07e,Workflow constructed from history 'filter test',{0: []},[bamFilter],
35,,af6e2f39acdee6c0,Copy of 'JAMMnarrowPeak2ID_v1',"{2: [], 3: [2], 4: [3], 5: [4], 6: [5], 7: [6], 8: [7], 9: [8]}","[tp_awk_tool, bedtools_intersectbed, tp_cut_tool, tp_sort_header_tool, tp_sorted_uniq, DatamashOps, tp_sort_header_tool, tp_cut_tool]",
36,,a343e0218803aa66,de-novo-rad-seq,"{5: [], 6: [], 7: [], 8: [], 9: [], 10: [5], 11: [10]}","[stacks_procrad, stacks_procrad, stacks_procrad, fastqc, sort1, stacks_denovomap, stacks_populations]",
37,,ae0ae675e5e86bb0,Filter gtf using Cuffcompare transcript tracking,"{2: [], 3: [], 4: [2], 5: [3], 6: [4], 7: [6], 8: [5, 7], 9: [8]}","[tp_awk_tool, tp_awk_tool, tp_awk_tool, tp_awk_tool, tp_awk_tool, tp_cut_tool, comp1, tp_cut_tool]",
38,,a47920b5daf377d0,test-bled,"{1: [], 2: [1], 3: [2], 4: [2], 5: [2], 6: [2], 7: [4]}","[rmcontamination, scaffold2fasta, eukaryotic_ncbi_submission, eukaryotic_ncbi_submission, eukaryotic_ncbi_submission, eukaryotic_ncbi_submission, antismash]",
39,,ab27df12b95212f0,Exome Pre-processing with BWA,"{2: [], 3: [2], 4: [3], 5: [4]}","[bwa_mem, sam_to_bam, rgPicardMarkDups, picard_ReorderSam]",
40,,aeaf9eb42db4baa6,Workflow constructed from history 'Unnamed history',"{8: [6], 5: [], 6: [], 7: []}","[bowtie2, bowtie2, bowtie2, bowtie2]",
41,,aaec6222f82a4a0a,RNA Seq count table generation,"{3: [], 4: [], 5: [], 6: [5], 7: [6], 8: [6], 9: [6]}","[fastqc, fastqc, tophat2, htseq_count, sort1, sort1, sort1]",
42,,a95a946c0ee84144,BlockClustWorkflow_clustering,"{1: [], 2: [1], 3: [2], 4: [3]}","[blockclust, sort1, blockbuster, blockclust]",
43,,a35dbb857b038bd2,Workflow_ChIPseq_day5',"{6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [7], 15: [9], 16: [9], 17: [13, 15], 18: [17], 19: [18], 20: [18], 21: [20], 22: [21], 23: [22], 24: [23]}","[CONVERTER_interval_to_bed_0, bam_to_sam, bam_to_sam, peakcalling_macs14, picard_BamIndexStats, bams2ratio, bam_to_sam, get_flanks1, PicardASMetrics, cshl_awk_tool, cshl_awk_tool, gops_intersect_1, CONVERTER_interval_to_bed_0, Count1, Extract genomic DNA 1, fasta2tab, Show beginning1, tab2fasta, meme_meme]",
44,,aaf9da2c31878188,Methylkit,"{1: [], 2: [1], 3: [2], 4: [3], 5: [4], 6: [5], 7: [6]}","[addValue, mergeCols1, cshl_awk_replace_in_column, cshl_awk_replace_in_column, Add_a_column1, Add_a_column1, Cut1]",
45,,a040187028c24a35,DESeq2 Contrast,{7: []},[deseq2],
46,,aecd4eb5dbed67c0,"Add ""chr"" at beginning of each line",{1: []},[cshl_awk_tool],
47,,a0e95dcde19b9553,Clustersuche,"{1: [], 2: [1], 3: [1], 4: [3]}","[augustus, EMBOSS: fuzzpro38, gff_to_sequence, antismash]",
48,,a5ca83bc660badce,"Add ""chr"" at beginning of each line",{1: []},[cshl_awk_tool],
49,,a53e2333f4023405,BlockClustWorkflow_complete,"{1: [], 2: [1], 3: [2], 4: [3], 5: [4], 6: [5], 7: [4, 6]}","[blockclust, sort1, blockbuster, blockclust, Extract genomic DNA 1, infernal_cmsearch, blockclust]",
50,,ad751f630fc4558f,Workflow constructed from history 'Tutorial - Step 2',"{1: [], 2: [], 3: [2], 4: [3], 5: [1, 4], 6: [5], 7: [5], 8: [5], 9: [6]}","[cshl_find_and_replace, Add_a_column1, Add_a_column1, Cut1, gops_intersect_1, Count1, bg_uniq, bg_uniq, barchart_gnuplot]",
51,,a647f78915e269a2,debug BAM filter,"{4: [], 5: [], 6: [4], 7: [4], 8: [5], 9: [5], 10: [7], 11: [10], 12: [10, 11, 6], 13: [12], 14: [12], 15: [8, 12, 13], 16: [9, 12, 14], 17: [15], 18: [16], 19: [17], 20: [17], 21: [18], 22: [18], 23: [19], 24: [20], 25: [21], 26: [22], 27: [24, 7], 28: [24], 29: [26, 7], 30: [26], 31: [27], 32: [28], 33: [29], 34: [30], 35: [31], 36: [31], 37: [33], 38: [33], 39: [35], 40: [20, 36], 41: [37], 42: [22, 38], 43: [32, 39, 23], 44: [25, 34, 41]}","[flexbar_no_split, tp_sed_tool, remove_tail.py, extract_bcs.py, tp_awk_tool, tp_awk_tool, extract_bcs.py, convert_bc_to_binary_RY.py, flexbar_split_RR_bcs, extract_bcs.py, extract_bcs.py, flexbardsc, flexbardsc, hisat2, hisat2, samtools_flagstat, bamFilter, samtools_flagstat, bamFilter, tp_awk_tool, extract_aln_ends.py, tp_awk_tool, extract_aln_ends.py, merge_pcr_duplicates.py, wc_gnu, merge_pcr_duplicates.py, wc_gnu, rm_spurious_events.py, tp_awk_tool, rm_spurious_events.py, tp_awk_tool, wc_gnu, tp_cut_tool, wc_gnu, tp_cut_tool, tp_awk_tool, picard_FilterSamReads, tp_awk_tool, picard_FilterSamReads, cat1, cat1]",
52,,aafd8efc6ef2ff04,RPKM_200,"{2: [], 3: [2], 4: [3], 5: [4], 6: [5], 7: [6], 8: [7], 9: [8]}","[gops_intersect_1, Add_a_column1, gops_join_1, Add_a_column1, Grouping1, addValue, Add_a_column1, Grouping1]",
53,,aa80580f523386c4,PeptideShaker to moFF conversion,"{1: [], 2: [1], 3: [2], 4: [3], 5: [4], 6: [5]}","[tp_replace_in_line, tp_replace_in_line, tp_replace_in_line, tp_replace_in_line, tp_replace_in_line, tp_replace_in_line]",
54,,a406f7e4b2885b2e,Membrane Proteins via GO annotation,"{3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [3], 10: [4], 11: [5], 12: [6], 13: [7], 14: [8], 15: [10, 11], 16: [12, 13], 17: [16, 15], 18: [17, 14], 19: [9, 18], 20: [19]}","[Grep1, get_subontology_from, get_subontology_from, get_subontology_from, get_subontology_from, get_subontology_from, tp_easyjoin_tool, term_id_vs_term_name, term_id_vs_term_name, term_id_vs_term_name, term_id_vs_term_name, term_id_vs_term_name, comp1, comp1, tp_easyjoin_tool, tp_easyjoin_tool, comp1, bg_uniq]",
55,,a91bac8ba50ffa8c,HiC mit Matrix-DpnII,"{2: [], 3: [2], 4: [2], 5: [3], 6: [4], 7: [5, 6]}","[trim_galore, bowtie2, bowtie2, samtools_sort, samtools_sort, hicexplorer_hicbuildmatrix]",
56,,aab930019a9d2ef0,BlockClustWorkflow_complete,"{1: [], 2: [1], 3: [2], 4: [3], 5: [4], 6: [5], 7: [4, 6]}","[blockclust, sort1, blockbuster, blockclust, Extract genomic DNA 1, infernal_cmsearch, blockclust]",
57,,a789d6648dbcf736,no,"{1: [], 2: [1], 3: [2]}","[fastq_groomer, cshl_fastx_trimmer, cshl_fastq_quality_filter]",
58,,a9f45158feda2c4f,From Peaks to Genes,"{2: [], 3: [2]}","[bedtools_intersectbed_bam, Grouping1]",
59,,aac998989c92a937,EBI Metagenomics workflow (3.0) (imported from uploaded file),"{5: [], 6: [], 7: [], 8: [], 9: [], 10: [5], 11: [10, 6], 12: [11], 13: [10, 12], 14: [13, 7], 15: [14], 16: [13, 15], 17: [16, 8], 18: [17], 19: [16, 18], 20: [9, 19], 21: [20], 22: [19, 21], 23: [19, 22], 24: [22], 25: [23], 26: [24]}","[trimmomatic, hmmer_hmmbuild, hmmer_hmmbuild, hmmer_hmmbuild, hmmer_hmmbuild, cshl_fastq_to_fasta, hmmer_hmmsearch, tp_awk_tool, seq_filter_by_id, hmmer_hmmsearch, tp_awk_tool, seq_filter_by_id, hmmer_hmmsearch, tp_awk_tool, seq_filter_by_id, hmmer_hmmsearch, tp_awk_tool, seq_filter_by_id, tp_cat, fraggenescan, qiime_pick_closed_reference_otus, interproscan]",
60,,a0196b2257de769c,4-col__Nucleosome_prediction_output_convert',"{1: [], 2: [1], 3: [2], 4: [3], 5: [4], 6: [5], 7: [6], 8: [7]}","[trimmer, Convert characters1, Convert characters1, trimmer, addValue, mergeCols1, Cut1, addValue]",
61,,a1d647ca61d8a064,Workflow constructed from history 'Staufen-reads-peak-centered',"{2: [], 3: [], 4: [], 5: [], 6: [4], 7: [4], 8: [5], 9: [7], 10: [9]}","[tp_awk_tool, Extract genomic DNA 1, tp_awk_tool, bigwig_to_bedgraph, Extract genomic DNA 1, bedtools_map, tp_awk_tool, tp_awk_tool, Extract genomic DNA 1]",
62,,a4bae75e56a59adf,Proper unique on a column,"{1: [], 2: [1], 3: [2]}","[Cut1, sort1, cshl_uniq_tool]",
63,,ae5d4de9c7bae42a,Workflow constructed from history 'Unnamed history',"{0: [], 2: [0], 3: [], 4: [2], 5: [4], 6: [3, 4], 7: [5], 8: [6], 9: [7], 10: [8]}","[Cut1, cshl_find_and_replace, get_flanks1, cshl_find_and_replace, Count1, gops_intersect_1, CONVERTER_interval_to_bed_0, Count1, CONVERTER_interval_to_bedstrict_0, barchart_gnuplot]","karsten,all_karstne"
64,,a3fcfdfe980ef315,Mit DNA,"{0: [], 1: [0], 2: [1], 3: [2], 4: [3], 5: [4], 6: [4]}","[EMBOSS: shuffleseq87, EMBOSS: water107, cshl_grep_tool, trimmer, trimmer, histogram_rpy, sort1]",
65,,a053c238d1c93bb6,"Add ""chr"" at beginning of each line",{1: []},[cshl_awk_tool],
66,,a3fa169fb8ec1c4b,MACS-Peaks.xls --> Peaks.bed,"{1: [], 2: [1], 3: [2], 4: [2], 5: [3], 6: [4, 5], 7: [6]}","[Grep1, Remove beginning1, Cut1, Cut1, addValue, Paste1, addValue]",
67,,a03a7cf7f0446b0d,Workflow constructed from history 'Test Galaxy 14_02_23',"{1: [], 3: [1], 4: [], 5: [3], 6: [3, 4], 7: [6]}","[tp_replace_in_column, cshl_awk_tool, get_flanks1, CONVERTER_interval_to_bed_0, gops_intersect_1, Count1]",
68,,a44c255030ad3192,AddNaming,"{1: [], 2: [1]}","[addValue, mergeCols1]",
69,,a24f2ba2e4904aa7,imported: Workflow 1 for GCC 2016 - iTRAQ Search (imported from uploaded file),"{0: [], 1: [], 4: [0, 1], 5: [4], 6: [5], 7: [4, 6]}","[dbbuilder, dbbuilder, fasta_merge_files_and_filter_unique_sequences, search_gui, peptide_shaker, mz_to_sqlite]",
70,,a5e3252cd2be6636,Copy of 'RNA-prediction Schlunck' shared by 'bjoern.gruening@gmail.com',"{1: [], 2: [], 3: [1], 4: [2], 5: [3], 6: [4], 7: [6], 8: [6], 9: [7], 10: [8], 11: [10], 12: [11], 13: [12], 14: [13]}","[fastq_to_fasta_python, bowtie2, fasta_compute_length, bedtools_bamtobed, Summary_Statistics1, Extract genomic DNA 1, fasta_compute_length, fasta_filter_by_length, Summary_Statistics1, infernal_cmsearch, Filter1, cshl_sort_header, cshl_sort_header, Grouping1]",
71,,ae4329474b5d6e6e,SNP_sajjad,"{2: [], 3: [2], 4: [3], 5: [3], 6: [5]}","[freebayes, vcfallelicprimitives, snpSift_filter, snpSift_filter, snpSift_annotate]",
72,,a09af03ebeb2c2a8,Copy of 'Calculate Insertsize metrics',"{3: [], 4: [], 5: [3, 4], 6: [5], 7: [5], 8: [7]}","[Show beginning1, Show beginning1, bowtie2, rseqc_inner_distance, samtools_sort, PicardInsertSize]",
73,,a16162dac9fbb52a,Extract score ,"{0: [], 1: [0]}","[cshl_grep_tool, trimmer]",
74,,acb39cf19927739e,GraphClust_3r_vrnafold,"{1: [], 2: [1], 3: [2], 4: [1, 3], 5: [1, 4], 6: [1, 5], 7: [1, 6], 8: [6, 7], 9: [8], 10: [9, 1], 11: [1, 10, 6], 12: [1, 11, 4, 5], 13: [1, 12], 14: [1, 13], 15: [13, 14], 16: [15], 17: [16, 1], 18: [17, 11, 13, 1]}","[preproc, viennarna_rnafold, structure_to_gspan, nspdk_sparse, NSPDK_candidateClust, preMloc, locarna_best_subtree, cmFinder, infernal_cmbuild, infernal_cmsearch, glob_report, NSPDK_candidateClust, preMloc, locarna_best_subtree, cmFinder, infernal_cmbuild, infernal_cmsearch, glob_report]",
75,,ab8ca5f61bfa72e9,"Add ""chr"" at beginning of each line",{1: []},[cshl_awk_tool],
76,,a89b0b5ef9563c5b,get gene intervals with strand from gtf-file and tabular CUFFDIFF output for computematrix,"{2: [], 3: [2], 4: [3], 5: [4], 6: [5], 7: [6], 8: [7], 9: [8], 10: [9], 11: [10], 12: [11], 13: [12], 14: [11, 13], 15: [14], 16: [15]}","[Cut1, tp_unfold_column_tool, Grep1, regex_replace, regex_replace, Paste1, tp_sorted_uniq, tp_easyjoin_tool, Cut1, Convert characters1, Cut1, Convert characters1, Paste1, Cut1, bg_uniq]",
77,,ab18a201dfc04f04,Secreted Proteins via WolfPsort and GO annotation,"{3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [3], 11: [4], 12: [5], 13: [6], 14: [7], 15: [8], 16: [9], 17: [10], 18: [10], 19: [11, 12], 20: [12, 13], 21: [14, 15], 22: [17], 23: [18], 24: [20, 21], 25: [22], 26: [23], 27: [16, 24], 28: [25, 26], 29: [19, 27], 30: [28, 29], 31: [30], 32: [31]}","[uniprot, Grep1, get_subontology_from, get_subontology_from, get_subontology_from, get_subontology_from, get_subontology_from, wolf_psort, tp_easyjoin_tool, term_id_vs_term_name, term_id_vs_term_name, term_id_vs_term_name, term_id_vs_term_name, term_id_vs_term_name, Filter1, Filter1, comp1, tp_easyjoin_tool, tp_easyjoin_tool, Convert characters1, Convert characters1, tp_easyjoin_tool, tp_cut_tool, tp_cut_tool, tp_easyjoin_tool, tp_easyjoin_tool, comp1, comp1, bg_uniq, tp_cut_tool]","final,tested"
78,,a2bc540dacbfa12e,'Exom-seq',"{8: [], 9: [7], 10: [9], 7: []}","[snpSift_filter, vcfallelicprimitives, snpSift_annotate, snpEff]",
79,,ad91b4d1db49f907,CHIPseq_SingleEnd_OneLane,"{1: [], 2: [1], 3: [2], 4: [2], 5: [4]}","[trim_galore, bowtie2, samtools_flagstat, samtools_rmdup, deeptools_bamCoverage]",
80,,ac5f3ebe733148b4,Methylation Course,"{2: [], 3: [2], 4: [3], 5: [4], 6: [5], 7: [5], 8: [6], 9: [7], 10: [8, 9], 11: [10]}","[methtools_calling, cshl_sort_header, methtools_destrand, CONVERTER_interval_to_bed_0, bedtools_intersectbed_bam, bedtools_intersectbed_bam, Cut1, Cut1, Paste1, r_correlation_matrix]",
81,,aae4917f1fb6a0c1,PVM-MappedReads-Freebayes-GEMINI,"{5: [], 6: [], 7: [], 8: [5], 9: [6], 10: [7], 11: [8, 9, 10], 12: [11], 13: [12], 14: [13], 15: [14], 16: [15], 17: [16], 18: [17], 19: [17], 20: [17], 21: [17]}","[picard_MarkDuplicates, picard_MarkDuplicates, picard_MarkDuplicates, picard_ReorderSam, picard_ReorderSam, picard_ReorderSam, sam_merge2, freebayes, vcfallelicprimitives, snpSift_filter, snpSift_annotate, snpEff, gemini_load, gemini_query, gemini_query, gemini_query, gemini_query]",
